CUST_CODE,BASKET_DOMINANT_MISSION
CUST0000147574,Fresh
CUST0000851524,Fresh
CUST0000173993,Fresh
CUST0000469228,Fresh
CUST0000118502,Mixed
CUST0000674164,Fresh
CUST0000145600,Mixed
CUST0000885717,Fresh
CUST0000851524,Fresh
CUST0000256627,Fresh
CUST0000094339,Mixed
CUST0000851524,Mixed
CUST0000978405,Grocery
CUST0000634688,Fresh
CUST0000788454,Fresh
CUST0000109773,Fresh
CUST0000145600,Mixed
CUST0000992085,Fresh
CUST0000341004,Mixed
CUST0000176246,Fresh
CUST0000278486,Mixed
CUST0000550825,Fresh
CUST0000923296,Mixed
CUST0000800372,Mixed
CUST0000167190,Fresh
CUST0000674164,Fresh
CUST0000503338,Fresh
CUST0000109773,Mixed
CUST0000092593,Fresh
CUST0000916905,Mixed
CUST0000658290,Fresh
CUST0000292858,Fresh
CUST0000111873,Fresh
CUST0000848108,Mixed
CUST0000848108,Fresh
CUST0000068394,Fresh
CUST0000575612,Mixed
CUST0000701067,Grocery
CUST0000788454,Mixed
CUST0000848108,Fresh
CUST0000361701,Grocery
CUST0000788454,Grocery
CUST0000568678,Mixed
CUST0000788454,Mixed
CUST0000736244,Mixed
CUST0000938755,Fresh
CUST0000202661,Grocery
CUST0000765119,Fresh
CUST0000557293,Fresh
CUST0000649717,Mixed
CUST0000978405,Fresh
CUST0000830944,Mixed
CUST0000625521,Fresh
CUST0000906997,Fresh
CUST0000185462,Fresh
CUST0000765119,Fresh
CUST0000144475,Fresh
CUST0000100647,Fresh
CUST0000530259,Fresh
CUST0000005057,Mixed
CUST0000312411,Fresh
CUST0000655437,Fresh
CUST0000957189,Mixed
CUST0000609540,Fresh
CUST0000111873,Fresh
CUST0000275967,Fresh
CUST0000361812,Fresh
CUST0000830944,Fresh
CUST0000625521,Fresh
CUST0000625521,Fresh
CUST0000280656,Fresh
CUST0000293743,Mixed
CUST0000765119,Fresh
CUST0000680463,Mixed
CUST0000392659,Fresh
CUST0000565459,Fresh
CUST0000665507,Mixed
CUST0000306181,Fresh
CUST0000184646,Fresh
CUST0000925425,Fresh
CUST0000312411,Mixed
CUST0000461850,Fresh
CUST0000986278,Mixed
CUST0000925425,Fresh
CUST0000461850,Fresh
CUST0000461850,Mixed
CUST0000788454,Mixed
CUST0000871730,Grocery
CUST0000135248,Fresh
CUST0000200767,Mixed
CUST0000184646,Grocery
CUST0000863326,Grocery
CUST0000184646,Fresh
CUST0000100599,Mixed
CUST0000644893,Fresh
CUST0000925425,Mixed
CUST0000461850,Fresh
CUST0000461850,Mixed
CUST0000863326,Grocery
CUST0000527918,Fresh
CUST0000963229,Mixed
CUST0000100599,Mixed
CUST0000986278,Mixed
CUST0000997122,Mixed
CUST0000997122,Mixed
CUST0000644893,Grocery
CUST0000461850,Mixed
CUST0000461850,Mixed
CUST0000848108,Fresh
CUST0000527918,Mixed
CUST0000184646,Mixed
CUST0000461850,Fresh
CUST0000136043,Fresh
CUST0000461850,Fresh
CUST0000644893,Mixed
CUST0000461850,Fresh
CUST0000246027,Fresh
CUST0000986278,Mixed
CUST0000605738,Mixed
CUST0000644893,Fresh
CUST0000511022,Fresh
CUST0000511022,Fresh
CUST0000184646,Mixed
CUST0000431111,Mixed
CUST0000999024,Mixed
CUST0000720862,Mixed
CUST0000136043,Fresh
CUST0000200767,Mixed
CUST0000461850,Mixed
CUST0000871730,Mixed
CUST0000925425,Mixed
CUST0000461850,Fresh
CUST0000461850,Mixed
CUST0000997122,Mixed
CUST0000461850,Fresh
CUST0000963229,Mixed
CUST0000869224,Mixed
CUST0000461850,Fresh
CUST0000184646,Fresh
CUST0000431111,Mixed
CUST0000644893,Mixed
CUST0000100599,Mixed
CUST0000184646,Fresh
CUST0000997122,Mixed
CUST0000848108,Mixed
CUST0000132570,Mixed
CUST0000461850,Fresh
CUST0000688682,Mixed
CUST0000848108,Mixed
CUST0000132570,Mixed
CUST0000184646,Fresh
CUST0000098332,Mixed
CUST0000999935,Fresh
CUST0000584803,Grocery
CUST0000352929,Mixed
CUST0000461850,Fresh
CUST0000986278,Mixed
CUST0000136043,Mixed
CUST0000987141,Grocery
CUST0000548270,Mixed
CUST0000830687,Mixed
CUST0000830687,Mixed
CUST0000461850,Mixed
CUST0000863429,Grocery
CUST0000461850,Fresh
CUST0000738459,Fresh
CUST0000431111,Mixed
CUST0000871730,Mixed
CUST0000287611,Grocery
CUST0000132570,Fresh
CUST0000167145,Mixed
CUST0000184646,Fresh
CUST0000434013,Grocery
CUST0000644893,Grocery
CUST0000503950,Fresh
CUST0000136043,Mixed
CUST0000688682,Mixed
CUST0000461850,Fresh
CUST0000925425,Mixed
CUST0000997122,Grocery
CUST0000461850,Mixed
CUST0000345218,Grocery
CUST0000923296,Fresh
CUST0000132570,Fresh
CUST0000986278,Fresh
CUST0000461850,Mixed
CUST0000306181,Grocery
CUST0000136043,Mixed
CUST0000997122,Mixed
CUST0000287611,Grocery
CUST0000135248,Grocery
CUST0000136043,Mixed
CUST0000184646,Fresh
CUST0000256303,Mixed
CUST0000527918,Mixed
CUST0000898638,Fresh
CUST0000461850,Mixed
CUST0000707553,Mixed
CUST0000461850,Fresh
CUST0000836803,Mixed
CUST0000871730,Grocery
CUST0000132570,Fresh
CUST0000963229,Mixed
CUST0000510974,Mixed
CUST0000049077,Fresh
CUST0000963229,Mixed
CUST0000036238,Mixed
CUST0000144953,Fresh
CUST0000314122,Grocery
CUST0000297515,Mixed
CUST0000944007,Mixed
CUST0000328079,Mixed
CUST0000886802,Fresh
CUST0000401834,Mixed
CUST0000762817,Mixed
CUST0000410483,Fresh
CUST0000132570,Mixed
CUST0000140340,Mixed
CUST0000963229,Fresh
CUST0000297515,Mixed
CUST0000049077,Fresh
CUST0000464579,Mixed
CUST0000820750,Mixed
CUST0000086836,Fresh
CUST0000160842,Fresh
CUST0000963229,Mixed
CUST0000160842,Fresh
CUST0000868061,Mixed
CUST0000990465,Mixed
CUST0000995305,Grocery
CUST0000862112,Fresh
CUST0000426701,Mixed
CUST0000963229,Mixed
CUST0000405131,Grocery
CUST0000160842,Mixed
CUST0000944007,Mixed
CUST0000809769,Mixed
CUST0000868061,Mixed
CUST0000420363,Fresh
CUST0000132570,Fresh
CUST0000306181,Grocery
CUST0000426701,Mixed
CUST0000464070,Mixed
CUST0000160842,Mixed
CUST0000944007,Fresh
CUST0000868061,Mixed
CUST0000809769,Mixed
CUST0000420363,Mixed
CUST0000944007,Grocery
CUST0000944007,Mixed
CUST0000140993,Mixed
CUST0000132570,Mixed
CUST0000547782,Fresh
CUST0000811783,Fresh
CUST0000246378,Mixed
CUST0000132570,Fresh
CUST0000963229,Mixed
CUST0000160842,Mixed
CUST0000640774,Mixed
CUST0000820750,Grocery
CUST0000944007,Grocery
CUST0000160842,Fresh
CUST0000467543,Grocery
CUST0000393587,Mixed
CUST0000450865,Grocery
CUST0000472158,Mixed
CUST0000990465,Fresh
CUST0000314122,Grocery
CUST0000160842,Mixed
CUST0000862112,Fresh
CUST0000188540,Mixed
CUST0000420363,Mixed
CUST0000420363,Mixed
CUST0000132570,Mixed
CUST0000132570,Fresh
CUST0000963229,Mixed
CUST0000963229,Mixed
CUST0000809769,Mixed
CUST0000179997,Grocery
CUST0000944007,Fresh
CUST0000862112,Mixed
CUST0000995305,Grocery
CUST0000467543,Mixed
CUST0000547782,Fresh
CUST0000582787,Mixed
CUST0000809769,Mixed
CUST0000211159,Fresh
CUST0000476514,Mixed
CUST0000160842,Fresh
CUST0000188540,Mixed
CUST0000990465,Mixed
CUST0000963229,Mixed
CUST0000420363,Mixed
CUST0000963229,Mixed
CUST0000944007,Grocery
CUST0000049077,Fresh
CUST0000963229,Mixed
CUST0000820750,Mixed
CUST0000820750,Mixed
CUST0000575612,Mixed
CUST0000314122,Grocery
CUST0000990465,Fresh
CUST0000963229,Mixed
CUST0000963229,Mixed
CUST0000108776,Fresh
CUST0000886802,Fresh
CUST0000462232,Fresh
CUST0000132570,Mixed
CUST0000243704,Mixed
CUST0000862112,Mixed
CUST0000132570,Fresh
CUST0000138092,Grocery
CUST0000834746,Mixed
CUST0000275967,Fresh
CUST0000559941,Fresh
CUST0000138092,Mixed
CUST0000275967,Fresh
CUST0000275967,Mixed
CUST0000139065,Mixed
CUST0000275967,Fresh
CUST0000138092,Mixed
CUST0000862295,Mixed
CUST0000138092,Mixed
CUST0000690971,Mixed
CUST0000146080,Grocery
CUST0000455145,Mixed
CUST0000275967,Fresh
CUST0000138092,Mixed
CUST0000275967,Fresh
CUST0000513227,Mixed
CUST0000275967,Fresh
CUST0000275967,Fresh
CUST0000268287,Mixed
CUST0000138092,Mixed
CUST0000138092,Mixed
CUST0000138092,Mixed
CUST0000146080,Fresh
CUST0000528012,Mixed
CUST0000138092,Grocery
CUST0000259671,Mixed
CUST0000275967,Fresh
CUST0000138092,Mixed
CUST0000061753,Fresh
CUST0000528012,Mixed
CUST0000796401,Fresh
CUST0000135397,Fresh
CUST0000189627,Fresh
CUST0000275967,Mixed
CUST0000586910,Fresh
CUST0000275967,Fresh
CUST0000275967,Fresh
CUST0000275967,Fresh
CUST0000146080,Grocery
CUST0000513227,Mixed
CUST0000268287,Mixed
CUST0000275967,Fresh
CUST0000275967,Fresh
CUST0000135397,Mixed
CUST0000275967,Mixed
CUST0000275967,Fresh
CUST0000832547,Mixed
CUST0000673735,Mixed
CUST0000275967,Fresh
CUST0000275967,Fresh
CUST0000275967,Fresh
CUST0000275967,Fresh
CUST0000985195,Fresh
CUST0000138092,Grocery
CUST0000513227,Mixed
CUST0000868061,Mixed
CUST0000275967,Fresh
CUST0000667919,Mixed
CUST0000275967,Fresh
CUST0000832547,Mixed
CUST0000938246,Fresh
CUST0000275967,Fresh
CUST0000275967,Fresh
CUST0000709510,Mixed
CUST0000275967,Fresh
CUST0000102405,Mixed
CUST0000138092,Mixed
CUST0000556927,Mixed
CUST0000275967,Fresh
CUST0000275967,Fresh
CUST0000938246,Fresh
CUST0000135397,Fresh
CUST0000559941,Fresh
CUST0000268287,Mixed
CUST0000036040,Mixed
CUST0000667919,Fresh
CUST0000275967,Mixed
CUST0000138092,Mixed
CUST0000138092,Mixed
CUST0000268287,Mixed
CUST0000138092,Grocery
CUST0000275967,Fresh
CUST0000275967,Fresh
CUST0000146080,Grocery
CUST0000868061,Mixed
CUST0000275967,Fresh
CUST0000275967,Mixed
CUST0000275967,Fresh
CUST0000275967,Fresh
CUST0000138092,Fresh
CUST0000275967,Fresh
CUST0000914368,Fresh
CUST0000275967,Fresh
CUST0000275967,Fresh
CUST0000275967,Fresh
CUST0000275967,Fresh
CUST0000138092,Fresh
CUST0000275967,Fresh
CUST0000275967,Fresh
CUST0000275967,Fresh
CUST0000138092,Fresh
CUST0000275967,Fresh
CUST0000938246,Fresh
CUST0000337192,Fresh
CUST0000984181,Mixed
CUST0000161319,Fresh
CUST0000561915,Fresh
CUST0000048521,Fresh
CUST0000053927,Fresh
CUST0000662370,Fresh
CUST0000096000,Mixed
CUST0000298310,Mixed
CUST0000393187,Fresh
CUST0000644461,Fresh
CUST0000129727,Mixed
CUST0000667919,Fresh
CUST0000591629,Fresh
CUST0000590382,Fresh
CUST0000990465,Fresh
CUST0000228495,Mixed
CUST0000367810,Fresh
CUST0000200775,Fresh
CUST0000200775,Mixed
CUST0000206560,Fresh
CUST0000115145,Grocery
CUST0000554024,Mixed
CUST0000885717,Fresh
CUST0000400006,Fresh
CUST0000743903,Fresh
CUST0000828867,Fresh
CUST0000111873,Mixed
CUST0000622502,Mixed
CUST0000738722,Fresh
CUST0000683859,Fresh
CUST0000848359,Fresh
CUST0000312108,Fresh
CUST0000410727,Mixed
CUST0000298310,Mixed
CUST0000239714,Fresh
CUST0000142044,Fresh
CUST0000053927,Mixed
CUST0000827833,Fresh
CUST0000053927,Fresh
CUST0000438114,Fresh
CUST0000990465,Fresh
CUST0000388736,Fresh
CUST0000017325,Fresh
CUST0000848359,Fresh
CUST0000629707,Fresh
CUST0000096000,Mixed
CUST0000239714,Fresh
CUST0000563864,Fresh
CUST0000829519,Fresh
CUST0000664592,Mixed
CUST0000809769,Fresh
CUST0000644461,Fresh
CUST0000845975,Mixed
CUST0000733271,Mixed
CUST0000406967,Fresh
CUST0000231274,Fresh
CUST0000053927,Fresh
CUST0000896966,Mixed
CUST0000634688,Mixed
CUST0000176901,Fresh
CUST0000142044,Mixed
CUST0000556297,Fresh
CUST0000604353,Fresh
CUST0000680280,Mixed
CUST0000486391,Nonfood
CUST0000992881,Fresh
CUST0000036136,Fresh
CUST0000062155,Mixed
CUST0000943845,Fresh
CUST0000990465,Mixed
CUST0000556297,Mixed
CUST0000210089,Fresh
CUST0000195321,Fresh
CUST0000115925,Mixed
CUST0000616217,Fresh
CUST0000644461,Fresh
CUST0000210836,Mixed
CUST0000652732,Fresh
CUST0000459910,Fresh
CUST0000400006,Fresh
CUST0000851524,Fresh
CUST0000751202,Mixed
CUST0000624342,Fresh
CUST0000231274,Mixed
CUST0000298310,Fresh
CUST0000990465,Fresh
CUST0000644461,Fresh
CUST0000667919,Fresh
CUST0000012784,Fresh
CUST0000984181,Mixed
CUST0000476115,Fresh
CUST0000644461,Fresh
CUST0000410727,Mixed
CUST0000275779,Fresh
CUST0000729395,Fresh
CUST0000890061,Mixed
CUST0000017325,Fresh
CUST0000448280,Fresh
CUST0000719547,Fresh
CUST0000644461,Fresh
CUST0000667919,Fresh
CUST0000561915,Fresh
CUST0000438114,Fresh
CUST0000983560,Fresh
CUST0000339006,Mixed
CUST0000400006,Mixed
CUST0000624342,Fresh
CUST0000096000,Mixed
CUST0000766797,Fresh
CUST0000644461,Fresh
CUST0000048395,Fresh
CUST0000337192,Fresh
CUST0000161319,Fresh
CUST0000986734,Fresh
CUST0000298310,Mixed
CUST0000360617,Mixed
CUST0000430660,Fresh
CUST0000667919,Fresh
CUST0000414514,Fresh
CUST0000224697,Fresh
CUST0000683859,Fresh
CUST0000017325,Fresh
CUST0000890061,Mixed
CUST0000017325,Fresh
CUST0000624342,Fresh
CUST0000303864,Fresh
CUST0000400006,Mixed
CUST0000235674,Fresh
CUST0000451458,Fresh
CUST0000683859,Mixed
CUST0000053927,Fresh
CUST0000385802,Fresh
CUST0000017325,Fresh
CUST0000667919,Fresh
CUST0000634688,Fresh
CUST0000160721,Fresh
CUST0000590382,Fresh
CUST0000486391,Mixed
CUST0000176901,Fresh
CUST0000992085,Fresh
CUST0000885717,Fresh
CUST0000978339,Fresh
CUST0000278836,Fresh
CUST0000406967,Fresh
CUST0000075158,Mixed
CUST0000241132,Mixed
CUST0000667919,Fresh
CUST0000722362,Fresh
CUST0000837778,Fresh
CUST0000683859,Fresh
CUST0000561915,Fresh
CUST0000161319,Fresh
CUST0000420363,Fresh
CUST0000448280,Mixed
CUST0000989319,Mixed
CUST0000448280,Fresh
CUST0000644461,Fresh
CUST0000916290,Fresh
CUST0000115925,Mixed
CUST0000105393,Fresh
CUST0000263970,Fresh
CUST0000235674,Mixed
CUST0000245965,Fresh
CUST0000017325,Mixed
CUST0000017325,Fresh
CUST0000118502,Fresh
CUST0000017325,Mixed
CUST0000412413,Mixed
CUST0000019732,Mixed
CUST0000984181,Mixed
CUST0000310258,Fresh
CUST0000312108,Fresh
CUST0000832547,Mixed
CUST0000146080,Fresh
CUST0000466448,Fresh
CUST0000604353,Fresh
CUST0000393187,Fresh
CUST0000486391,Mixed
CUST0000200775,Mixed
CUST0000839174,Fresh
CUST0000616217,Fresh
CUST0000120273,Fresh
CUST0000465162,Mixed
CUST0000480214,Fresh
CUST0000448280,Fresh
CUST0000105393,Fresh
CUST0000984181,Mixed
CUST0000263970,Fresh
CUST0000604318,Fresh
CUST0000585617,Fresh
CUST0000235674,Fresh
CUST0000561915,Fresh
CUST0000472222,Fresh
CUST0000771768,Fresh
CUST0000984181,Mixed
CUST0000324094,Fresh
CUST0000520277,Mixed
CUST0000075158,Mixed
CUST0000762817,Mixed
CUST0000683859,Fresh
CUST0000016697,Fresh
CUST0000728610,Fresh
CUST0000200775,Fresh
CUST0000809769,Fresh
CUST0000420363,Fresh
CUST0000622502,Mixed
CUST0000202818,Mixed
CUST0000057847,Fresh
CUST0000938246,Fresh
CUST0000332806,Fresh
CUST0000719547,Fresh
CUST0000553777,Fresh
CUST0000633908,Mixed
CUST0000146080,Fresh
CUST0000990465,Mixed
CUST0000644461,Fresh
CUST0000885717,Fresh
CUST0000173993,Fresh
CUST0000561915,Fresh
CUST0000561915,Fresh
CUST0000556297,Fresh
CUST0000298310,Mixed
CUST0000644461,Fresh
CUST0000061543,Mixed
CUST0000239714,Fresh
CUST0000995305,Fresh
CUST0000200775,Fresh
CUST0000263501,Fresh
CUST0000171269,Mixed
CUST0000825158,Fresh
CUST0000561915,Fresh
CUST0000235674,Mixed
CUST0000475627,Fresh
CUST0000986734,Mixed
CUST0000385802,Fresh
CUST0000995305,Fresh
CUST0000275779,Fresh
CUST0000200775,Fresh
CUST0000275779,Fresh
CUST0000142044,Fresh
CUST0000176901,Fresh
CUST0000915203,Mixed
CUST0000239714,Fresh
CUST0000556297,Fresh
CUST0000667919,Fresh
CUST0000633908,Mixed
CUST0000392760,Mixed
CUST0000984181,Fresh
CUST0000788454,Fresh
CUST0000142044,Fresh
CUST0000111873,Fresh
CUST0000400006,Fresh
CUST0000698354,Mixed
CUST0000667919,Fresh
CUST0000235674,Mixed
CUST0000585617,Fresh
CUST0000142044,Fresh
CUST0000263970,Fresh
CUST0000016697,Fresh
CUST0000585617,Fresh
CUST0000986734,Fresh
CUST0000795333,Mixed
CUST0000239714,Fresh
CUST0000488888,Mixed
CUST0000312108,Mixed
CUST0000486391,Mixed
CUST0000224697,Fresh
CUST0000480214,Fresh
CUST0000667919,Fresh
CUST0000649717,Fresh
CUST0000109773,Fresh
CUST0000788454,Fresh
CUST0000758000,Fresh
CUST0000644461,Fresh
CUST0000813838,Fresh
CUST0000788454,Mixed
CUST0000147574,Mixed
CUST0000017325,Fresh
CUST0000561915,Fresh
CUST0000275779,Fresh
CUST0000762817,Fresh
CUST0000329537,Fresh
CUST0000644461,Fresh
CUST0000644461,Fresh
CUST0000410727,Mixed
CUST0000116158,Fresh
CUST0000634688,Mixed
CUST0000809769,Mixed
CUST0000591629,Fresh
CUST0000537317,Fresh
CUST0000430660,Fresh
CUST0000129727,Fresh
CUST0000624342,Fresh
CUST0000728610,Fresh
CUST0000041470,Fresh
CUST0000430660,Fresh
CUST0000899418,Mixed
CUST0000556297,Fresh
CUST0000017325,Fresh
CUST0000275779,Fresh
CUST0000111873,Grocery
CUST0000561915,Mixed
CUST0000863326,Mixed
CUST0000954808,Fresh
CUST0000885717,Mixed
CUST0000899418,Fresh
CUST0000476115,Fresh
CUST0000161319,Fresh
CUST0000200775,Mixed
CUST0000200987,Mixed
CUST0000561915,Fresh
CUST0000671293,Fresh
CUST0000719547,Fresh
CUST0000012784,Fresh
CUST0000543270,Fresh
CUST0000239714,Fresh
CUST0000200775,Mixed
CUST0000062155,Mixed
CUST0000142044,Fresh
CUST0000785895,Fresh
CUST0000751202,Fresh
CUST0000115925,Fresh
CUST0000206560,Mixed
CUST0000080416,Mixed
CUST0000994485,Mixed
CUST0000235674,Fresh
CUST0000624342,Fresh
CUST0000195321,Fresh
CUST0000036136,Fresh
CUST0000563864,Fresh
CUST0000480214,Fresh
CUST0000235674,Fresh
CUST0000475627,Fresh
CUST0000200775,Fresh
CUST0000679573,Fresh
CUST0000414458,Mixed
CUST0000094339,Grocery
CUST0000107193,Mixed
CUST0000159136,Mixed
CUST0000336781,Mixed
CUST0000993465,Fresh
CUST0000054964,Grocery
CUST0000548270,Mixed
CUST0000916315,Grocery
CUST0000550874,Mixed
CUST0000957158,Mixed
CUST0000550874,Mixed
CUST0000256627,Fresh
CUST0000102405,Mixed
CUST0000879560,Mixed
CUST0000591629,Mixed
CUST0000615547,Mixed
CUST0000268287,Mixed
CUST0000989319,Fresh
CUST0000957158,Grocery
CUST0000957158,Mixed
CUST0000256627,Grocery
CUST0000012784,Mixed
CUST0000673735,Mixed
CUST0000107193,Mixed
CUST0000989319,Fresh
CUST0000644153,Fresh
CUST0000626795,Grocery
CUST0000626795,Mixed
CUST0000673735,Mixed
CUST0000012784,Mixed
CUST0000359604,Grocery
CUST0000054964,Mixed
CUST0000099658,Fresh
CUST0000455145,Mixed
CUST0000054964,Grocery
CUST0000993465,Fresh
CUST0000576800,Grocery
CUST0000744374,Grocery
CUST0000900749,Grocery
CUST0000554021,Grocery
CUST0000400006,Grocery
CUST0000203903,Grocery
CUST0000537241,Grocery
CUST0000426230,Grocery
CUST0000651737,Grocery
CUST0000280854,Grocery
CUST0000420363,Grocery
CUST0000791696,Grocery
CUST0000007712,Grocery
CUST0000268143,Grocery
CUST0000644893,Grocery
CUST0000387071,Grocery
CUST0000973175,Grocery
CUST0000575612,Grocery
CUST0000900749,Grocery
CUST0000900749,Grocery
CUST0000639364,Grocery
CUST0000744374,Grocery
CUST0000900749,Grocery
CUST0000900749,Grocery
CUST0000426701,Grocery
CUST0000539672,Grocery
CUST0000109875,Grocery
CUST0000019732,Grocery
CUST0000766149,Grocery
CUST0000490741,Grocery
CUST0000900749,Grocery
CUST0000280854,Grocery
CUST0000900749,Grocery
CUST0000007712,Grocery
CUST0000900749,Grocery
CUST0000590105,Grocery
CUST0000575612,Grocery
CUST0000575612,Grocery
CUST0000539672,Grocery
CUST0000575612,Grocery
CUST0000894963,Grocery
CUST0000639364,Grocery
CUST0000900749,Grocery
CUST0000644893,Grocery
CUST0000900749,Grocery
CUST0000105820,Grocery
CUST0000539672,Grocery
CUST0000372422,Grocery
CUST0000575612,Grocery
CUST0000575612,Grocery
CUST0000590105,Grocery
CUST0000012784,Fresh
CUST0000115566,Fresh
CUST0000590382,Fresh
CUST0000789670,Mixed
CUST0000923296,Fresh
CUST0000297112,Mixed
CUST0000605493,Fresh
CUST0000115145,Grocery
CUST0000049077,Mixed
CUST0000561915,Fresh
CUST0000923296,Fresh
CUST0000789670,Fresh
CUST0000017325,Fresh
CUST0000978405,Fresh
CUST0000923296,Fresh
CUST0000798581,Mixed
CUST0000936813,Fresh
CUST0000788454,Fresh
CUST0000722362,Mixed
CUST0000200987,Fresh
CUST0000200767,Fresh
CUST0000200987,Fresh
CUST0000557293,Fresh
CUST0000741711,Fresh
CUST0000361812,Fresh
CUST0000925937,Fresh
CUST0000871730,Fresh
CUST0000561915,Fresh
CUST0000228495,Mixed
CUST0000200767,Fresh
CUST0000957158,Fresh
CUST0000975635,Fresh
CUST0000503093,Fresh
CUST0000801239,Fresh
CUST0000322562,Fresh
CUST0000845975,Fresh
CUST0000885717,Fresh
CUST0000561915,Fresh
CUST0000115566,Fresh
CUST0000876668,Fresh
CUST0000613062,Mixed
CUST0000561915,Fresh
CUST0000012784,Fresh
CUST0000314681,Fresh
CUST0000129727,Fresh
CUST0000602746,Fresh
CUST0000711533,Mixed
CUST0000400006,Fresh
CUST0000070200,Fresh
CUST0000312108,Fresh
CUST0000206560,Mixed
CUST0000923296,Mixed
CUST0000938246,Mixed
CUST0000957158,Fresh
CUST0000579399,Fresh
CUST0000503093,Fresh
CUST0000711533,Mixed
CUST0000241132,Fresh
CUST0000710863,Mixed
CUST0000845375,Fresh
CUST0000507456,Fresh
CUST0000925937,Fresh
CUST0000179766,Fresh
CUST0000068394,Fresh
CUST0000509226,Fresh
CUST0000606400,Mixed
CUST0000925937,Fresh
CUST0000743903,Mixed
CUST0000179766,Fresh
CUST0000591629,Fresh
CUST0000561915,Fresh
CUST0000561915,Fresh
CUST0000561915,Fresh
CUST0000925937,Fresh
CUST0000457813,Fresh
CUST0000711533,Fresh
CUST0000711533,Mixed
CUST0000923296,Fresh
CUST0000710863,Mixed
CUST0000832547,Fresh
CUST0000711533,Fresh
CUST0000994038,Fresh
CUST0000649717,Mixed
CUST0000780215,Mixed
CUST0000200767,Fresh
CUST0000923296,Fresh
CUST0000975635,Mixed
CUST0000241132,Mixed
CUST0000591629,Fresh
CUST0000631911,Fresh
CUST0000711533,Mixed
CUST0000029089,Grocery
CUST0000722362,Mixed
CUST0000561915,Fresh
CUST0000722362,Mixed
CUST0000070200,Fresh
CUST0000707553,Mixed
CUST0000200767,Fresh
CUST0000561915,Fresh
CUST0000711533,Mixed
CUST0000561915,Fresh
CUST0000845375,Fresh
CUST0000975635,Fresh
CUST0000711533,Mixed
CUST0000801239,Fresh
CUST0000771481,Fresh
CUST0000410727,Fresh
CUST0000711533,Fresh
CUST0000899835,Mixed
CUST0000021218,Fresh
CUST0000118502,Fresh
CUST0000623649,Fresh
CUST0000784030,Mixed
CUST0000706608,Fresh
CUST0000899835,Mixed
CUST0000602746,Mixed
CUST0000561915,Fresh
CUST0000167190,Mixed
CUST0000899835,Mixed
CUST0000602746,Mixed
CUST0000135397,Fresh
CUST0000899835,Mixed
CUST0000970826,Fresh
CUST0000896966,Mixed
CUST0000995305,Fresh
CUST0000554024,Fresh
CUST0000057304,Fresh
CUST0000528973,Mixed
CUST0000451897,Fresh
CUST0000644893,Mixed
CUST0000813838,Fresh
CUST0000129097,Fresh
CUST0000871730,Fresh
CUST0000461850,Mixed
CUST0000135397,Fresh
CUST0000885891,Fresh
CUST0000912102,Fresh
CUST0000667919,Fresh
CUST0000347026,Grocery
CUST0000108776,Fresh
CUST0000142044,Fresh
CUST0000108776,Fresh
CUST0000528973,Mixed
CUST0000120273,Mixed
CUST0000738722,Mixed
CUST0000832547,Fresh
CUST0000057304,Fresh
CUST0000200987,Fresh
CUST0000528973,Fresh
CUST0000633617,Fresh
CUST0000528973,Fresh
CUST0000771768,Fresh
CUST0000135397,Fresh
CUST0000057304,Fresh
CUST0000116158,Fresh
